,Topic,Word,P
0,0,couple,0.1498003751039505
1,0,polynomial,0.11037732660770416
2,0,scalar,0.10973361879587173
3,1,application,0.2207718938589096
4,1,gauge,0.09093735367059708
5,1,evidence,0.08126046508550644
6,2,dimensional,0.3003976345062256
7,2,set,0.10076819360256195
8,2,detection,0.06437084823846817
9,3,non,0.4920176863670349
10,3,symmetric,0.09538441151380539
11,3,improve,0.05999774485826492
12,4,base,0.30856966972351074
13,4,study,0.19297942519187927
14,4,multi,0.10041926801204681
15,5,energy,0.20345814526081085
16,5,hole,0.14802810549736023
17,5,black,0.1242072731256485
18,6,model,0.5959440469741821
19,6,case,0.055015336722135544
20,6,term,0.050872061401605606
21,7,datum,0.16323627531528473
22,7,gamma,0.08055960386991501
23,7,module,0.06955736875534058
24,8,structure,0.294950008392334
25,8,classical,0.08108779042959213
26,8,global,0.06302787363529205
27,9,property,0.21796144545078278
28,9,cluster,0.1518414467573166
29,9,spectral,0.07967677712440491
30,10,star,0.30260345339775085
31,10,formation,0.13902242481708527
32,10,gravitational,0.0931590273976326
33,11,learn,0.11291243135929108
34,11,trap,0.08986540138721466
35,11,string,0.0873974859714508
36,12,effective,0.11505026370286942
37,12,rate,0.09563473612070084
38,12,equilibrium,0.0677124410867691
39,13,charge,0.168572336435318
40,13,fermion,0.08977346867322922
41,13,detector,0.07117794454097748
42,14,matrix,0.1607331782579422
43,14,simulation,0.15208202600479126
44,14,disk,0.08703254163265228
45,15,high,0.34358352422714233
46,15,observation,0.1440243124961853
47,15,constraint,0.08089929074048996
48,16,process,0.17912152409553528
49,16,relativistic,0.10881008207798004
50,16,general,0.08031484484672546
51,17,curve,0.12452534586191177
52,17,invariant,0.12316586077213287
53,17,plane,0.08296576142311096
54,18,line,0.17848330736160278
55,18,strong,0.14505110681056976
56,18,solar,0.10420604795217514
57,19,local,0.17192494869232178
58,19,matter,0.1483784168958664
59,19,dark,0.0912061482667923
60,20,manifold,0.14283011853694916
61,20,action,0.09485241770744324
62,20,compact,0.08835714310407639
63,21,galaxy,0.21258381009101868
64,21,temperature,0.09414136409759521
65,21,relation,0.08623700588941574
66,22,state,0.29116788506507874
67,22,wave,0.16614457964897156
68,22,gravity,0.11372604966163635
69,23,function,0.3410702049732208
70,23,vector,0.08281314373016357
71,23,power,0.06494839489459991
72,24,drive,0.12116433680057526
73,24,critical,0.11870228499174118
74,24,estimate,0.11241361498832703
75,25,use,0.44647905230522156
76,25,search,0.11568416655063629
77,25,brane,0.05423589423298836
78,26,field,0.35431593656539917
79,26,magnetic,0.18565340340137482
80,26,low,0.14135505259037018
81,27,time,0.20652930438518524
82,27,dimension,0.12152920663356781
83,27,symmetry,0.10570689290761948
84,28,type,0.15127681195735931
85,28,single,0.11780893057584763
86,28,particle,0.10979894548654556
87,29,form,0.13929183781147003
88,29,small,0.11321636289358139
89,29,chiral,0.09650964289903641
90,30,equation,0.2802651524543762
91,30,solution,0.14795662462711334
92,30,boundary,0.09399497509002686
93,31,group,0.24140234291553497
94,31,surface,0.20559334754943848
95,31,approximation,0.07739000022411346
96,32,object,0.09208450466394424
97,32,fast,0.09168709814548492
98,32,statistical,0.08248591423034668
99,33,mass,0.1674250066280365
100,33,decay,0.16485634446144104
101,33,measurement,0.1643289178609848
102,34,production,0.13211113214492798
103,34,quark,0.13041557371616364
104,34,decomposition,0.06000740826129913
105,35,ray,0.2790907919406891
106,35,medium,0.07411813735961914
107,35,force,0.057665906846523285
108,36,new,0.19610288739204407
109,36,limit,0.15822052955627441
110,36,liquid,0.08471664786338806
111,37,complex,0.14145058393478394
112,37,mode,0.13223645091056824
113,37,channel,0.0797615647315979
114,38,network,0.18956458568572998
115,38,distribution,0.12646359205245972
116,38,self,0.0834820568561554
117,39,result,0.13282108306884766
118,39,body,0.12576261162757874
119,39,many,0.079041488468647
120,40,lattice,0.19385239481925964
121,40,optical,0.14411050081253052
122,40,induce,0.1380157470703125
123,41,electron,0.143546000123024
124,41,correlation,0.11196712404489517
125,41,collision,0.10875263810157776
126,42,system,0.30818894505500793
127,42,quantum,0.23080022633075714
128,42,resonance,0.05500488728284836
129,43,memory,0.06262528151273727
130,43,feedback,0.051263872534036636
131,43,average,0.05021815747022629
132,44,point,0.14658929407596588
133,44,flow,0.1422555297613144
134,44,measure,0.12008563429117203
135,45,approach,0.2011098563671112
136,45,scale,0.18267330527305603
137,45,method,0.1663978546857834
138,46,bound,0.09251614660024643
139,46,loop,0.07806983590126038
140,46,extension,0.06769773364067078
141,47,order,0.22179745137691498
142,47,light,0.119627445936203
143,47,generation,0.05951850116252899
144,48,phase,0.2782517075538635
145,48,transition,0.24043132364749908
146,48,curvature,0.060239098966121674
147,49,dynamic,0.28995296359062195
148,49,analysis,0.1624213308095932
149,49,domain,0.09793209284543991
150,50,theory,0.2760317623615265
151,50,algebra,0.11071360856294632
152,50,topological,0.07425624132156372
153,51,effect,0.3970349133014679
154,51,large,0.1438007950782776
155,51,transport,0.09648878127336502
156,52,interaction,0.2069634348154068
157,52,long,0.08903927356004715
158,52,gas,0.08861438184976578
159,53,problem,0.18134163320064545
160,53,operator,0.12283492088317871
161,53,map,0.08491126447916031
162,54,asymptotic,0.08683201670646667
163,54,perturbation,0.07943957298994064
164,54,gap,0.06736671924591064
165,55,linear,0.19098493456840515
166,55,emission,0.12542332708835602
167,55,calculation,0.07278429716825485
168,56,spectrum,0.09063814580440521
169,56,periodic,0.08431103080511093
170,56,disorder,0.0766017735004425
171,57,stability,0.12853659689426422
172,57,dependent,0.1045968309044838
173,57,current,0.09644023329019547
174,58,potential,0.16810864210128784
175,58,random,0.15224222838878632
176,58,associate,0.06188047304749489
177,59,space,0.2809367775917053
178,59,graph,0.1136210709810257
179,59,representation,0.07306068390607834
180,60,source,0.1363077461719513
181,60,number,0.12532013654708862
182,60,class,0.10832428932189941
183,61,superconductor,0.1169508770108223
184,61,metal,0.08896504342556
185,61,integral,0.08342555910348892
186,62,cosmology,0.11772540211677551
187,62,tree,0.1025332510471344
188,62,path,0.07590443640947342
189,63,theorem,0.15315747261047363
190,63,finite,0.1291637420654297
191,63,note,0.10180418193340302
192,64,spin,0.2727997899055481
193,64,geometry,0.09991170465946198
194,64,chain,0.0968889370560646
